n_games,score,best,avg,epsilon
345,18,55,12.5159,5
346,21,55,12.5405,5
347,16,55,12.5504,5
348,4,55,12.5259,5
349,9,55,12.5158,5
350,16,55,12.5257,5
351,27,55,12.5670,5
352,3,55,12.5398,5
353,8,55,12.5269,5
354,21,55,12.5508,5
355,5,55,12.5296,5
356,10,55,12.5225,5
357,22,55,12.5490,5
358,20,55,12.5698,5
359,24,55,12.6017,5
360,40,55,12.6778,5
361,30,55,12.7258,5
362,35,55,12.7873,5
363,28,55,12.8292,5
364,3,55,12.8022,5
365,36,55,12.8658,5
366,9,55,12.8552,5
367,23,55,12.8828,5
368,2,55,12.8533,5
369,36,55,12.9160,5
370,23,55,12.9432,5
371,27,55,12.9811,5
372,32,55,13.0323,5
373,8,55,13.0188,5
374,5,55,12.9973,5
375,19,55,13.0133,5
376,22,55,13.0372,5
377,7,55,13.0212,5
378,15,55,13.0265,5
379,40,55,13.0976,5
380,38,55,13.1632,5
381,18,55,13.1759,5
382,6,55,13.1571,5
383,16,55,13.1645,5
384,16,55,13.1719,5
385,18,55,13.1844,5
386,2,55,13.1554,5
387,9,55,13.1447,5
388,7,55,13.1289,5
389,5,55,13.1080,5
390,7,55,13.0923,5
391,1,55,13.0614,5
392,29,55,13.1020,5
393,3,55,13.0763,5
394,8,55,13.0635,5
395,33,55,13.1139,5
396,2,55,13.0859,5
397,20,55,13.1033,5
398,1,55,13.0729,5
399,32,55,13.1203,5
400,4,55,13.0975,5
401,10,55,13.0898,5
402,22,55,13.1119,5
403,16,55,13.1191,5
404,26,55,13.1510,5
405,29,55,13.1901,5
406,2,55,13.1626,5
407,10,55,13.1548,5
408,13,55,13.1544,5
409,31,55,13.1980,5
410,40,55,13.2634,5
411,21,55,13.2822,5
412,30,55,13.3228,5
413,5,55,13.3027,5
414,24,55,13.3285,5
415,6,55,13.3108,5
416,19,55,13.3245,5
417,16,55,13.3309,5
418,19,55,13.3445,5
419,16,55,13.3508,5
420,4,55,13.3286,5
421,9,55,13.3183,5
422,11,55,13.3128,5
423,1,55,13.2837,5
424,9,55,13.2736,5
425,1,55,13.2447,5
426,25,55,13.2723,5
427,9,55,13.2623,5
428,3,55,13.2383,5
429,8,55,13.2261,5
430,25,55,13.2535,5
431,24,55,13.2784,5
432,16,55,13.2847,5
433,5,55,13.2656,5
434,21,55,13.2834,5
435,6,55,13.2667,5
436,13,55,13.2661,5
437,11,55,13.2609,5
438,21,55,13.2785,5
439,6,55,13.2620,5
440,33,55,13.3068,5
441,2,55,13.2812,5
442,13,55,13.2805,5
443,11,55,13.2754,5
444,12,55,13.2725,5
445,12,55,13.2697,5
446,13,55,13.2691,5
447,20,55,13.2841,5
448,6,55,13.2679,5
449,20,55,13.2829,5
450,18,55,13.2933,5
451,27,55,13.3237,5
452,17,55,13.3319,5
453,31,55,13.3709,5
454,24,55,13.3943,5
455,14,55,13.3956,5
456,15,55,13.3991,5
457,27,55,13.4289,5
458,13,55,13.4279,5
459,19,55,13.4401,5
460,16,55,13.4457,5
461,15,55,13.4490,5
462,15,55,13.4524,5
463,22,55,13.4708,5
464,36,55,13.5194,5
465,22,55,13.5376,5
466,11,55,13.5322,5
467,15,55,13.5353,5
468,27,55,13.5641,5
469,8,55,13.5522,5
470,18,55,13.5617,5
471,16,55,13.5669,5
472,31,55,13.6038,5
473,5,55,13.5856,5
474,16,55,13.5907,5
475,15,55,13.5937,5
476,2,55,13.5693,5
477,17,55,13.5765,5
478,27,55,13.6046,5
479,22,55,13.6221,5
480,7,55,13.6083,5
481,12,55,13.6050,5
482,36,55,13.6515,5
483,21,55,13.6667,5
484,17,55,13.6736,5
485,8,55,13.6619,5
486,19,55,13.6728,5
487,1,55,13.6468,5
488,0,55,13.6189,5
489,27,55,13.6462,5
490,18,55,13.6551,5
491,12,55,13.6517,5
492,9,55,13.6423,5
493,12,55,13.6389,5
494,21,55,13.6538,5
495,9,55,13.6444,5
496,26,55,13.6694,5
497,8,55,13.6579,5
498,12,55,13.6546,5
499,16,55,13.6593,5
500,36,55,13.7040,5
501,5,55,13.6866,5
502,1,55,13.6614,5
503,5,55,13.6441,5
504,15,55,13.6468,5
505,10,55,13.6396,5
506,13,55,13.6383,5
507,13,55,13.6371,5
508,14,55,13.6378,5
509,4,55,13.6189,5
510,11,55,13.6137,5
511,4,55,13.5949,5
512,16,55,13.5996,5
513,16,55,13.6043,5
514,14,55,13.6051,5
515,7,55,13.5922,5
516,12,55,13.5891,5
517,25,55,13.6112,5
518,5,55,13.5946,5
519,7,55,13.5819,5
520,30,55,13.6135,5
521,13,55,13.6123,5
522,9,55,13.6034,5
523,4,55,13.5851,5
524,14,55,13.5859,5
525,12,55,13.5829,5
526,11,55,13.5779,5
527,15,55,13.5806,5
528,26,55,13.6042,5
529,14,55,13.6049,5
530,37,55,13.6491,5
531,4,55,13.6309,5
532,11,55,13.6259,5
533,2,55,13.6041,5
534,19,55,13.6142,5
535,8,55,13.6037,5
536,13,55,13.6026,5
537,21,55,13.6164,5
538,19,55,13.6264,5
539,27,55,13.6512,5
540,10,55,13.6444,5
541,11,55,13.6396,5
542,15,55,13.6421,5
543,15,55,13.6446,5
544,3,55,13.6250,5
545,27,55,13.6495,5
546,13,55,13.6484,5
547,37,55,13.6910,5
548,13,55,13.6898,5
549,14,55,13.6903,5
550,12,55,13.6873,5
551,52,55,13.7568,5
552,24,55,13.7754,5
553,0,55,13.7505,5
554,17,55,13.7563,5
555,13,55,13.7550,5
556,29,55,13.7824,5
557,19,55,13.7917,5
558,10,55,13.7849,5
559,17,55,13.7907,5
560,5,55,13.7750,5
561,18,55,13.7825,5
562,6,55,13.7687,5
563,13,55,13.7673,5
564,3,55,13.7482,5
565,18,55,13.7558,5
566,27,55,13.7792,5
567,23,55,13.7954,5
568,7,55,13.7835,5
569,2,55,13.7627,5
570,12,55,13.7596,5
571,14,55,13.7601,5
572,12,55,13.7570,5
573,6,55,13.7435,5
574,10,55,13.7369,5
575,11,55,13.7322,5
576,6,55,13.7188,5
577,23,55,13.7348,5
578,28,55,13.7595,5
579,27,55,13.7824,5
580,17,55,13.7879,5
581,20,55,13.7986,5
582,20,55,13.8093,5
583,15,55,13.8113,5
584,16,55,13.8151,5
585,5,55,13.8000,5
586,31,55,13.8294,5
587,24,55,13.8467,5
588,30,55,13.8741,5
589,14,55,13.8744,5
590,5,55,13.8593,5
591,15,55,13.8613,5
592,10,55,13.8547,5
593,11,55,13.8499,5
594,6,55,13.8367,5
595,12,55,13.8336,5
596,13,55,13.8322,5
597,21,55,13.8442,5
598,8,55,13.8344,5
599,16,55,13.8381,5
600,1,55,13.8167,5
601,23,55,13.8319,5
602,24,55,13.8488,5
603,30,55,13.8756,5
604,4,55,13.8593,5
605,12,55,13.8562,5
606,12,55,13.8531,5
607,10,55,13.8468,5
608,3,55,13.8289,5
609,2,55,13.8095,5
610,8,55,13.8000,5
611,1,55,13.7791,5
612,26,55,13.7990,5
613,5,55,13.7847,5
614,9,55,13.7769,5
615,6,55,13.7642,5
616,15,55,13.7662,5
617,26,55,13.7861,5
618,21,55,13.7977,5
619,1,55,13.7771,5
620,13,55,13.7758,5
621,30,55,13.8019,5
622,19,55,13.8103,5
623,29,55,13.8347,5
624,23,55,13.8494,5
625,15,55,13.8512,5
626,10,55,13.8450,5
627,15,55,13.8469,5
628,13,55,13.8455,5
629,6,55,13.8331,5
630,15,55,13.8349,5
631,10,55,13.8288,5
632,40,55,13.8703,5
633,6,55,13.8578,5
634,16,55,13.8612,5
635,7,55,13.8504,5
636,12,55,13.8475,5
637,26,55,13.8666,5
638,7,55,13.8558,5
639,7,55,13.8451,5
640,16,55,13.8484,5
641,9,55,13.8409,5
642,5,55,13.8271,5
